time,arm,reward,cost,performance,estimates,counts
1,1,-1,-1,-1,"[0, 0]","[0, 1]"
2,1,-1,-1,-1,"[0, 0]","[0, 2]"
3,1,-1,-1,-1,"[0, 0]","[0, 3]"
4,1,-1,-1,-1,"[0, 0]","[0, 4]"
5,0,-1,-1,-1,"[0, 0]","[1, 4]"
6,0,-1,-1,-1,"[0, 0]","[2, 4]"
7,1,-1,-1,-1,"[0, 0]","[2, 5]"
8,1,-1,-1,-1,"[0, 0]","[2, 6]"
9,0,-1,-1,-1,"[0, 0]","[3, 6]"
10,0,-1,-1,-1,"[0, 0]","[4, 6]"
11,1,-1,-1,-1,"[0, 0]","[4, 7]"
12,0,-1,-1,-1,"[0, 0]","[5, 7]"
13,1,-1,-1,-1,"[0, 0]","[5, 8]"
14,1,-1,-1,-1,"[0, 0]","[5, 9]"
15,0,-1,-1,-1,"[0, 0]","[6, 9]"
16,0,-1,-1,-1,"[0, 0]","[7, 9]"
17,1,-1,-1,-1,"[0, 0]","[7, 10]"
18,1,-1,-1,-1,"[0, 0]","[7, 11]"
19,1,-1,-1,-1,"[0, 0]","[7, 12]"
20,0,-1,-1,-1,"[0, 0]","[8, 12]"
21,0,-1,-1,-1,"[0, 0]","[9, 12]"
22,1,-1,-1,-1,"[0, 0]","[9, 13]"
23,0,-1,-1,-1,"[0, 0]","[10, 13]"
24,1,-1,-1,-1,"[0, 0]","[10, 14]"
25,0,-1,-1,-1,"[0, 0]","[11, 14]"
26,0,-1,-1,-1,"[0, 0]","[12, 14]"
27,0,-1,-1,-1,"[0, 0]","[13, 14]"
28,0,-1,-1,-1,"[0, 0]","[14, 14]"
29,0,-1,-1,-1,"[0, 0]","[15, 14]"
30,1,-1,-1,-1,"[0, 0]","[15, 15]"
