time,arm,reward,cost,performance,estimates,counts
1,1,1040.0896793529978,-1,1041.0896793529978,"[0, 1040.0896793529978]","[0, 1]"
2,0,1197.5191476604282,-1,1198.5191476604282,"[1197.5191476604282, 1040.0896793529978]","[1, 1]"
3,0,78.14292761666206,-1,79.14292761666206,"[637.8310376385451, 1040.0896793529978]","[2, 1]"
4,1,168.44442552346416,-1,169.44442552346416,"[637.8310376385451, 604.267052438231]","[2, 2]"
5,0,1701.6107235129275,-1,1702.6107235129275,"[992.4242662633392, 604.267052438231]","[3, 2]"
6,0,716.5033481348243,-1,717.5033481348243,"[923.4440367312104, 604.267052438231]","[4, 2]"
7,1,2556.535550139932,-1,2557.535550139932,"[923.4440367312104, 1255.023218338798]","[4, 3]"
8,1,830.5707622387479,-1,831.5707622387479,"[923.4440367312104, 1148.9101043137855]","[4, 4]"
9,1,1242.5279566209206,-1,1243.5279566209206,"[923.4440367312104, 1167.6336747752125]","[4, 5]"
10,1,1512.0771835661246,-1,1513.0771835661246,"[923.4440367312104, 1225.0409262403646]","[4, 6]"
11,1,2483.82499594915,-1,2484.82499594915,"[923.4440367312104, 1404.8672219130483]","[4, 7]"
12,1,1262.1964684592335,-1,1263.1964684592335,"[923.4440367312104, 1387.0333777313215]","[4, 8]"
13,1,386.46645141296267,-1,387.46645141296267,"[923.4440367312104, 1275.8592748070594]","[4, 9]"
14,0,944.1713535853081,-1,945.1713535853081,"[927.58950010203, 1275.8592748070594]","[5, 9]"
15,1,1365.7867874764074,-1,1366.7867874764074,"[927.58950010203, 1284.852026073994]","[5, 10]"
16,1,141.7819692052738,-1,142.7819692052738,"[927.58950010203, 1180.9365663586557]","[5, 11]"
17,0,1994.0040505191546,-1,1995.0040505191546,"[1105.325258504884, 1180.9365663586557]","[6, 11]"
18,0,2905.8611735277714,-1,2906.8611735277714,"[1362.5446749367252, 1180.9365663586557]","[7, 11]"
19,0,1449.894793757027,-1,1450.894793757027,"[1373.4634397892628, 1180.9365663586557]","[8, 11]"
20,0,272.4042487189928,-1,273.4042487189928,"[1251.123529670344, 1180.9365663586557]","[9, 11]"
21,0,977.8937106506476,-1,978.8937106506476,"[1223.8005477683741, 1180.9365663586557]","[10, 11]"
22,0,966.8986339777593,-1,967.8986339777593,"[1200.4458283328636, 1180.9365663586557]","[11, 11]"
23,0,2308.1754168945026,-1,2309.1754168945026,"[1292.7566273796667, 1180.9365663586557]","[12, 11]"
24,0,593.0074709154331,-1,594.0074709154331,"[1238.9297691901104, 1180.9365663586557]","[13, 11]"
25,1,1398.684438587278,-1,1399.684438587278,"[1238.9297691901104, 1199.0822223777075]","[13, 12]"
26,0,1655.3734087293683,-1,1656.3734087293683,"[1268.6757434429146, 1199.0822223777075]","[14, 12]"
27,0,2874.0223086382102,-1,2875.0223086382102,"[1375.6988477892676, 1199.0822223777075]","[15, 12]"
28,0,2635.6252001412417,-1,2636.6252001412417,"[1454.4442448112661, 1199.0822223777075]","[16, 12]"
29,0,1476.7077190581726,-1,1477.7077190581726,"[1455.753860943437, 1199.0822223777075]","[17, 12]"
